,Part Number,Description,Supplier Name,Price,Quantity,Cost Per Unit,Total Cost,Months No Sale
373,0101-14646,rpha 1 matte black xs,parts canada/power twins,1049.99,0,734.96,0.0,10
374,0101-14647,rpha 1 matte black sm,parts canada/power twins,1049.95,0,734.96,0.0,11
819,0301-0081,120/70zr17 58w u pilot power 2,parts canada/power twins,294.99,0,186.47000000000003,0.0,11
854,0301-0436,120/70zr19 60w commander ii fr,parts canada/power twins,395.95,0,257.37,0.0,11
893,0301-0605,120/70zr17 (58w) diablo rosso 3,parts canada/power twins,288.99,0,187.82,0.0,10
940,0301-0732,120/70r17 58v scorpion rally s,parts canada/power twins,335.99,1,153.95000000000002,153.95000000000002,10
943,0301-0738,120/70zr19 (60w) battlecruise,parts canada/power twins,311.99,0,202.77,0.0,11
956,0301-0764,130/70r18 63h av91 cobra chrom,parts canada/power twins,499.99,1,216.43,216.43,9
968,0301-0776,120/70r17 58v me888 marathon u,parts canada/power twins,316.99,0,206.02,0.0,9
1122,0302-0849,170/60zr17 (72w) pilot road 4 gt,parts canada/power twins,392.99,0,255.42,0.0,11
1222,0302-1217,180/55r17 73v scorpion rally s,parts canada/power twins,525.99,1,241.02,241.02,10
1242,0302-1261,180/60r16 80h av92 cobra,parts canada/power twins,594.95,0,386.72,0.0,9
1243,0302-1262,180/70r16 77v av92 cobra chrom,parts canada/power twins,680.99,0,294.91,0.0,10
1247,0302-1266,"190/60r17,(78v)cchr",parts canada/power twins,563.99,0,231.54,0.0,11
1283,0302-1349,190/50zr17 (73w) battlax s22 r,parts canada/power twins,403.99,0,184.74,0.0,11
1284,0302-1349,190/50zr17 (73w) battlax s22 r,parts canada/power twins,378.95,0,246.32,0.0,9
1315,0302-1468,190/50zr17 metzeler sportec,parts canada/power twins,438.99,0,212.53,0.0,10
1327,0302-1505,150/60r17 66h battlax s22 rear,parts canada/power twins,300.99,0,128.19,0.0,11
1331,0302-1526,160/60zr17 (69w) battlax st t3,parts canada/power twins,377.99,0,183.98,0.0,11
1346,0302-1565,200/55zr17 (78w) diablo rosso,parts canada/power twins,497.95,0,323.67,0.0,10
1364,0302-1608,170/60zr17 (72w) road 6 rear,parts canada/power twins,501.95,0,326.27,0.0,10
1365,0302-1608,170/60zr17 (72w) road 6 rear,parts canada/power twins,501.95,0,326.27,0.0,10
1375,0302-1614,190/50zr17 (73w) road 6 gt rea,parts canada/power twins,553.99,0,270.54,0.0,11
1381,0302-1653,180/55zr17 (73w) diablo rosso,parts canada/power twins,433.95,0,282.07,0.0,9
1393,0303-0041,"130/70hr18,63h,g851f-g",parts canada/power twins,302.99,0,196.88,0.0,10
1394,0303-0063,120/70zr19 (60w) d208 v-rod fr,parts canada/power twins,384.95,0,250.22,0.0,11
1413,0304-0023,180/55zr18 74w exedra g850r re,parts canada/power twins,365.99,0,161.34,0.0,11
1414,0304-0023,180/55zr18 74w exedra g850r re,parts canada/power twins,330.95,0,215.12,0.0,11
1415,0304-0039,"190/60hr17,78h,g850r-g,",parts canada/power twins,423.99,0,275.0,0.0,10
1531,0305-0519,120/70b21 68h me888 marathon,parts canada/power twins,426.95,0,277.52,0.0,9
1534,0305-0527,120/70b17 58v me888 front metz,parts canada/power twins,367.99,0,239.17,0.0,11
1557,0305-0585,100/90-18 56v roadtec 01 front,parts canada/power twins,285.99,0,125.4,0.0,9
1574,0305-0628,120/70-21 68v av91 cobra chrome,parts canada/power twins,531.95,0,345.77000000000004,0.0,9
1584,0305-0646,100/90-16 54h roadtec 01 front,parts canada/power twins,268.99,0,131.60000000000002,0.0,10
1590,0305-0681,120/70b21 68h tl/tt commander iii,parts canada/power twins,482.95,0,313.92,0.0,9
1606,0305-0817,90/90b18 51h road classic fron,parts canada/power twins,485.95,0,315.87,0.0,11
1690,0306-0324,180/65b16 81h american elite m,parts canada/power twins,460.95,0,299.62,0.0,11
1694,0306-0415,mu85b-16 77h me888 marathon,parts canada/power twins,545.99,0,266.15000000000003,0.0,9
1698,0306-0421,160/70b17 79v me888 reinforced,parts canada/power twins,513.99,0,334.07000000000005,0.0,11
1728,0306-0595,mu85b16 77h conti legend www,parts canada/power twins,489.99,0,318.47,0.0,9
1730,0306-0606,120/70zr19 60w scorpion trail 2,parts canada/power twins,380.99,0,247.62,0.0,10
1741,0306-0644,140/90b16 77h av92 cobra,parts canada/power twins,585.99,0,253.48,0.0,9
1747,0306-0663,180/55b18 80h cruisetec rear,parts canada/power twins,576.95,0,375.02,0.0,11
1763,0306-0702,180/55b18 80h tl/tt commander,parts canada/power twins,577.95,0,375.6700000000001,0.0,11
1772,0306-0767,100/90-18 56v roadrider mkii f,parts canada/power twins,272.95,0,177.42,0.0,10
1790,0306-0793,130/70-18 63h battlax bt46 rea,parts canada/power twins,312.99,1,203.13,203.13,10
1800,0306-0835,4.00b18 64h road classic rear,parts canada/power twins,456.95,0,297.02,0.0,11
1806,0308-0001,mu85b16 77h d402 hd rear oe,parts canada/power twins,313.95,0,204.07,0.0,11
1810,0308-0006,160/70vb17 73v lasertec rear,parts canada/power twins,424.95,0,276.22,0.0,11
1932,0316-0271,110/80r19 59v tourance next (b,parts canada/power twins,297.99,0,193.67,0.0,11
1972,0316-0354,120/70r19 60v conti trail atta,parts canada/power twins,378.95,0,246.32,0.0,9
1984,0316-0362,90/90-21 54v tl/tt anakee adve,parts canada/power twins,345.99,0,224.87,0.0,11
1986,0316-0381,120/70zr19 60w road 5 trail fr,parts canada/power twins,433.99,0,282.07000000000005,0.0,10
2037,0317-0153,150/70r17 69v tourance next,parts canada/power twins,419.99,0,272.97,0.0,11
2061,0317-0222,170/60r17 72v tl/tt anakee 3 r,parts canada/power twins,414.99,4,269.72,1078.88,11
2074,0317-0244,4.00-18 64t tkc70 rear,parts canada/power twins,304.95,0,198.22,0.0,11
2115,0317-0354,170/60r17 72v scorpion trail 2,parts canada/power twins,453.99,0,295.07000000000005,0.0,10
2161,0317-0449,170/60zr17 72w conti trail att,parts canada/power twins,494.95,0,321.72,0.0,9
2182,0317-0498,140/80b18 70t trailmax mission,parts canada/power twins,320.99,0,208.62,0.0,11
2192,0317-0559,140/80r17 69s tkc70 rocks rear,parts canada/power twins,444.95,0,289.22,0.0,9
3175,0601-4843,"handlebar bro +8"" bk",parts canada/power twins,829.99,0,580.97,0.0,9
3646,076AF5107,givi windscreen sliding clear,thibault canada,279.99,0,195.99,0.0,10
4328,09-0916,"arai,regent-x,gunm/frost,lg",full bore,749.99,0,458.97,0.0,11
